Filename,Title,Description,NbCopies,NbSelf,Background,Bear,Body,Bot,Bunny,Cape,Chick,Clothes,Devil,Facial Hair,Hair,Head,Heart,Hoodie,Lord Cape,Ninja,Tags
5266.png,Injectigos #5266,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,None,None,None,None,None,chick,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
92.png,Injectigos #92,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,None,None,None,None,None,chick,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
2462.png,Injectigos #2462,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Red,None,None,None,None,None,chick,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
5333.png,Injectigos #5333,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Blue,None,None,None,None,None,chick,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
2796.png,Injectigos #2796,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,Grey,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
710.png,Injectigos #710,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,White,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
2794.png,Injectigos #2794,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,None,None,None,Grey,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
4382.png,Injectigos #4382,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,None,None,None,Brown,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
5218.png,Injectigos #5218,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,Brown,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
2260.png,Injectigos #2260,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Blue,None,None,None,Brown,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
4637.png,Injectigos #4637,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Purple,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
5250.png,Injectigos #5250,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
3900.png,Injectigos #3900,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Red,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
811.png,Injectigos #811,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
3554.png,Injectigos #3554,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Orange,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
3142.png,Injectigos #3142,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,injectigos/InjectigosNft/injectiveNFT
5198.png,Injectigos #5198,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,None,None,None,None,None,None,None,None,Red,None,None,None,injectigos/InjectigosNft/injectiveNFT
1896.png,Injectigos #1896,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,None,None,None,None,None,None,None,None,None,None,None,Red,None,None,None,injectigos/InjectigosNft/injectiveNFT
2151.png,Injectigos #2151,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Black,injectigos/InjectigosNft/injectiveNFT
3418.png,Injectigos #3418,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Yellow,injectigos/InjectigosNft/injectiveNFT
5032.png,Injectigos #5032,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Green,injectigos/InjectigosNft/injectiveNFT
1009.png,Injectigos #1009,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Black,injectigos/InjectigosNft/injectiveNFT
1986.png,Injectigos #1986,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Black,injectigos/InjectigosNft/injectiveNFT
3860.png,Injectigos #3860,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Yellow,injectigos/InjectigosNft/injectiveNFT
2406.png,Injectigos #2406,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Black,injectigos/InjectigosNft/injectiveNFT
1894.png,Injectigos #1894,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Yellow,injectigos/InjectigosNft/injectiveNFT
1998.png,Injectigos #1998,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Red,injectigos/InjectigosNft/injectiveNFT
20.png,Injectigos #20,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Yellow,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Green,injectigos/InjectigosNft/injectiveNFT
218.png,Injectigos #218,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Green,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Black,injectigos/InjectigosNft/injectiveNFT
112.png,Injectigos #112,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Red,injectigos/InjectigosNft/injectiveNFT
1621.png,Injectigos #1621,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Green,injectigos/InjectigosNft/injectiveNFT
4474.png,Injectigos #4474,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Green,injectigos/InjectigosNft/injectiveNFT
4078.png,Injectigos #4078,5555 unique one eyed cyclops #InjectiveNFTs collection!,1,0,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ninja Green,injectigos/InjectigosNft/injectiveNFT
